Code	Title	TitleEN	Disease_CMAUP	Disease_Category_CMAUP
2C51	腹膜恶性肿瘤	Malignant neoplasms of peritoneum	Peritoneal cancer	02.Neoplasms
BD52	某些特指的动脉或小动脉疾病	Certain specified disorders of arteries or arterioles	Arteries/arterioles disorder	11.Diseases of the circulatory system
2C25	支气管或肺恶性肿瘤	Malignant neoplasms of bronchus or lung	Lung cancer	02.Neoplasms
2C82	前列腺恶性肿瘤	Malignant neoplasms of prostate	Prostate cancer	02.Neoplasms
BA40	心绞痛	Angina pectoris	Ischemic heart disease	11.Diseases of the circulatory system
BA6Z	未特指的缺血性心脏病	Ischaemic heart diseases, unspecified	Ischemic heart disease	11.Diseases of the circulatory system
2A40	慢性粒单核细胞白血病	Chronic myelomonocytic leukaemia	Chronic myelomonocytic leukaemia	02.Neoplasms
1F28	皮肤癣菌病	Dermatophytosis	Skin and skin-structure infection	01.Certain infectious or parasitic diseases
1G0Z	不明或未特指的体表寄生虫侵染	Infestation by unknown or unspecified ectoparasite	Skin and skin-structure infection	01.Certain infectious or parasitic diseases
NE6Z	未特指物质的有害效应	Harmful effects of unspecified substance	Unspecific substance harmful effect	22.Injury, poisoning or certain other consequences of external causes
6D71	轻度神经认知障碍	Mild neurocognitive disorder	Mild neurocognitive disorder	06.Mental, behavioural or neurodevelopmental disorders
2C60	乳腺癌，特指类型	Carcinoma of breast, specialised type	Breast cancer	02.Neoplasms
2C6Y	其他特指的乳房恶性肿瘤	Other specified malignant neoplasms of breast	Breast cancer	02.Neoplasms
DB93	肝纤维化或肝硬变	Hepatic fibrosis or cirrhosis	Hepatic fibrosis/cirrhosis	13.Diseases of the digestive system
2A60	急性髓系白血病和相关前体细胞肿瘤	Acute myeloid leukaemias and related precursor neoplasms	Acute myeloid leukaemia	02.Neoplasms
2B54	原发部位的未分类多形性肉瘤	Undifferentiated pleomorphic sarcoma, primary site	Pleomorphic sarcoma	02.Neoplasms
DB61	肛周静脉血栓形成	Perianal venous thrombosis	Thrombosis	13.Diseases of the digestive system
GB90	某些特指的肾或输尿管疾患	Certain specified disorders of kidney or ureter	Thrombosis	13.Diseases of the digestive system
2B70	食管恶性肿瘤	Malignant neoplasms of oesophagus	Esophageal cancer	02.Neoplasms
2C76	子宫体恶性肿瘤	Malignant neoplasms of corpus uteri	Endometrial cancer	02.Neoplasms
DD70	克罗恩病	Crohn disease	Crohn disease	13.Diseases of the digestive system
5A70	库欣综合征	Cushing syndrome	Cushing syndrome	05.Endocrine, nutritional or metabolic diseases
2C80	睾丸恶性肿瘤	Malignant neoplasms of testis	Testicular cancer	02.Neoplasms
5C80	高脂蛋白血症	Hyperlipoproteinaemia	Hyper-lipoproteinaemia	05.Endocrine, nutritional or metabolic diseases
MG3Z	未特指的疼痛	Pain, unspecified	Pain, unspecified	21.Symptoms, signs or clinical findings, not elsewhere classified
2A41	不典型慢性髓系白血病，BCR_ABL1-阴性	Atypical chronic myeloid leukaemia, BCR-ABL1-negative	BCR-ABL1-negative chronic myeloid leukaemia	02.Neoplasms
2B5B	原发部位胃肠道间质瘤	Gastrointestinal stromal tumour, primary site	Gastrointestinal stromal tumour	02.Neoplasms
1E50	急性病毒性肝炎	Acute viral hepatitis	Hepatitis virus infection	01.Certain infectious or parasitic diseases
1E51	慢性病毒性肝炎	Chronic viral hepatitis	Hepatitis virus infection	01.Certain infectious or parasitic diseases
EA80	特应性湿疹	Atopic eczema	Atopic eczema	14.Diseases of the skin
6A20	精神分裂症	Schizophrenia	Schizophrenia	06.Mental, behavioural or neurodevelopmental disorders
2C25	支气管或肺恶性肿瘤	Malignant neoplasms of bronchus or lung	Non-small cell lung cancer	02.Neoplasms
8C70	肌营养不良	Muscular dystrophy	Muscular dystrophy	08.Diseases of the nervous system
5C80	高脂蛋白血症	Hyperlipoproteinaemia	Dyslipidemia	05.Endocrine, nutritional or metabolic diseases
5C81	低脂蛋白血症	Hypolipoproteinaemia	Dyslipidemia	05.Endocrine, nutritional or metabolic diseases
LD55	脆性X染色体	Fragile X chromosome	Fragile X chromosome	20.Developmental anomalies
BA41	急性心肌梗死	Acute myocardial infarction	Myocardial infarction	11.Diseases of the circulatory system
BA43	冠状动脉血栓形成，未导致心肌梗死	Coronary thrombosis not resulting in myocardial infarction	Myocardial infarction	11.Diseases of the circulatory system
FA25	痛风	Gout	Gout	15.Diseases of the musculoskeletal system or connective tissue
2C90	肾（除外肾盂）恶性肿瘤	Malignant neoplasms of kidney, except renal pelvis	Renal cell carcinoma	02.Neoplasms
FA2Z	未特指的炎性关节炎	Inflammatory arthropathies, unspecified	Inflammatory arthropathy	15.Diseases of the musculoskeletal system or connective tissue
6A02	孤独症谱系障碍	Autism spectrum disorder	Autism spectrum disorder	06.Mental, behavioural or neurodevelopmental disorders
2B5A	原发部位滑膜肉瘤	Synovial sarcoma, primary site	Synovial sarcoma	02.Neoplasms
8A20	阿尔茨海默病	Alzheimer disease	Alzheimer disease	08.Diseases of the nervous system
5A02	甲状腺毒症	Thyrotoxicosis	Thyrotoxicosis	05.Endocrine, nutritional or metabolic diseases
6A70	单次发作抑郁障碍	Single episode depressive disorder	Depression	06.Mental, behavioural or neurodevelopmental disorders
6A7Z	未特指的抑郁障碍	Depressive disorders, unspecified	Depression	06.Mental, behavioural or neurodevelopmental disorders
8B00	脑出血	Intracerebral haemorrhage	Intracerebral haemorrhage	08.Diseases of the nervous system
2B6D	下咽恶性肿瘤	Malignant neoplasms of hypopharynx	Hypopharyngeal cancer	02.Neoplasms
ND56	未特指身体区域的损伤	Injury of unspecified body region	Unspecific body region injury	22.Injury, poisoning or certain other consequences of external causes
2B91	直肠乙状结肠交界处恶性肿瘤	Malignant neoplasms of rectosigmoid junction	Colorectal cancer	02.Neoplasms
8A61	主要表现为癫痫的遗传性或假定遗传性综合征	Genetic or presumed genetic syndromes primarily expressed as epilepsy	Epilepsy/seizure	08.Diseases of the nervous system
8A6Z	未特指的癫痫或癫痫发作	Epilepsy or seizures, unspecified	Epilepsy/seizure	08.Diseases of the nervous system
8B10	短暂性脑缺血发作	Transient ischaemic attack	Ischemia	08.Diseases of the nervous system
8B11	缺血性脑卒中	Cerebral ischaemic stroke	Ischemia	08.Diseases of the nervous system
EA90	银屑病	Psoriasis	Psoriasis	14.Diseases of the skin
ED60	获得性色素沉着症	Acquired hypermelanosis	Acquired hypermelanosis	14.Diseases of the skin
2B6B	鼻咽恶性肿瘤	Malignant neoplasms of nasopharynx	Nasopharyngeal cancer	02.Neoplasms
BB01	肺动脉高压	Pulmonary hypertension	Pulmonary hypertension	11.Diseases of the circulatory system
DD72	未定型结肠炎	Indeterminate colitis	Indeterminate colitis	13.Diseases of the digestive system
GA90	前列腺增生	Hyperplasia of prostate	Prostate hyperplasia	16.Diseases of the genitourinary system
BD4Z	未特指的慢性动脉阻塞性疾病	Chronic arterial occlusive disease, unspecified	Chronic arterial occlusive disease	11.Diseases of the circulatory system
2C92	输尿管恶性肿瘤	Malignant neoplasms of ureter	Ureteral cancer	02.Neoplasms
7A00	慢性失眠症	Chronic insomnia	Insomnia	07.Sleep-wake disorders
7A0Z	未特指的失眠	Insomnia disorders, unspecified	Insomnia	07.Sleep-wake disorders
BA00	原发性高血压	Essential hypertension	Cardiovascular disease	11.Diseases of the circulatory system
BE2Z	未特指的循环系统疾病	Diseases of the circulatory system, unspecified	Cardiovascular disease	11.Diseases of the circulatory system
CB03	特发性间质性肺炎	Idiopathic interstitial pneumonitis	Idiopathic interstitial pneumonitis	12.Diseases of the respiratory system
1F90	其他和未特指的寄生蠕虫侵染	Other or unspecified infestation by parasitic worms	Parasitic worm infestation	01.Certain infectious or parasitic diseases
1G00	虱病	Pediculosis	Pediculosis	01.Certain infectious or parasitic diseases
MG30	慢性疼痛	Chronic pain	Chronic pain	21.Symptoms, signs or clinical findings, not elsewhere classified
7A00	慢性失眠症	Chronic insomnia	Sleep-wake disorder	07.Sleep-wake disorders
7B2Z	未特指的睡眠-觉醒障碍	Sleep-wake disorders, unspecified	Sleep-wake disorder	07.Sleep-wake disorders
2C26	胸膜恶性肿瘤	Malignant neoplasms of the pleura	Pleural mesothelioma	02.Neoplasms
5C52	先天性脂质代谢缺陷	Inborn errors of lipid metabolism	Inborn lipid metabolism error	05.Endocrine, nutritional or metabolic diseases
MB24.3	焦虑	Anxiety	Anxiety	21.Symptoms, signs or clinical findings, not elsewhere classified
5A2Y	糖尿病其他特指的急性并发症	Other specified acute complications of diabetes mellitus	Acute diabete complication	05.Endocrine, nutritional or metabolic diseases
2C17	胆道其他或未特指部位的恶性肿瘤	Malignant neoplasms of other or unspecified parts of biliary tract	Biliary tract cancer	02.Neoplasms
2B90	结肠恶性肿瘤	Malignant neoplasms of colon	Colon cancer	02.Neoplasms
1A00	霍乱	Cholera	Bacterial infection	01.Certain infectious or parasitic diseases
1C4Z	未特指的细菌性疾病	Unspecified bacterial disease	Bacterial infection	01.Certain infectious or parasitic diseases
2D60	单一区域淋巴结转移性恶性肿瘤	Malignant neoplasm metastasis in lymph node of a single region	Metastatic lymph node neoplasm	02.Neoplasms
8A05	抽动障碍	Tic disorders	Tic disorder	08.Diseases of the nervous system
DB91	急性或亚急性肝衰竭	Acute or subacute hepatic failure	Acute/subacute hepatic failure	13.Diseases of the digestive system
2B5D	原发部位的恶性混合性上皮间叶性肿瘤	Malignant mixed epithelial mesenchymal tumour, primary site	Malignant mesenchymal neoplasm	02.Neoplasms
2B5Y	其他特指的恶性间叶性肿瘤	Other specified malignant mesenchymal neoplasms	Malignant mesenchymal neoplasm	02.Neoplasms
2C74	输卵管恶性肿瘤	Malignant neoplasms of fallopian tube	Fallopian tube cancer	02.Neoplasms
EA81	脂溢性皮炎及相关疾病	Seborrhoeic dermatitis and related conditions	Seborrhoeic dermatitis	14.Diseases of the skin
NE84	移植器官或组织的失败或排斥	Failure or rejection of transplanted organs or tissues	Transplant rejection	22.Injury, poisoning or certain other consequences of external causes
GA10	子宫内膜异位症	Endometriosis	Endometriosis	16.Diseases of the genitourinary system
CB07	淋巴管平滑肌瘤病	Lymphangioleiomyomatosis	Lymphangioleiomyomatosis	12.Diseases of the respiratory system
9B10	白内障	Cataract	Cataract	09.Diseases of the visual system
1G40	脓毒症不伴脓毒性休克	Sepsis without septic shock	Sepsis	01.Certain infectious or parasitic diseases
1G41	脓毒症伴脓毒性休克	Sepsis with septic shock	Sepsis	01.Certain infectious or parasitic diseases
2A02	脊髓、脑神经或中枢神经系统剩余部位的原发性肿瘤	Primary neoplasm of spinal cord, cranial nerves, paraspinal nerves or remaining parts of central nervous system	Spinal cord/cranial nerve neoplasm	02.Neoplasms
8C0Z	未特指的多神经病变	Polyneuropathy, unspecified	Neuropathy	08.Diseases of the nervous system
BA40	心绞痛	Angina pectoris	Angina pectoris	11.Diseases of the circulatory system
BA00	原发性高血压	Essential hypertension	Essential hypertension	11.Diseases of the circulatory system
ED63	获得性色素脱失性疾患	Acquired hypomelanotic disorders	Acquired hypomelanotic disorder	14.Diseases of the skin
2D8Y	其他特指消化系统器官的转移性恶性肿瘤	Malignant neoplasm metastasis in other specified digestive system organ	Metastatic digestive system neoplasm	02.Neoplasms
2D50	脑转移性恶性肿瘤	Malignant neoplasm metastasis in brain	Metastatic malignant neoplasm	02.Neoplasms
2E09	周围神经系统转移性恶性肿瘤	Malignant neoplasm metastasis in peripheral nervous system	Metastatic malignant neoplasm	02.Neoplasms
8B11	缺血性脑卒中	Cerebral ischaemic stroke	Cerebral ischaemic stroke	08.Diseases of the nervous system
5C55	先天性嘌呤、嘧啶或核苷酸代谢缺陷	Inborn errors of purine, pyrimidine or nucleotide metabolism	Inborn purine/pyrimidine/nucleotide metabolism error	05.Endocrine, nutritional or metabolic diseases
8D87	某些特指的神经变性疾患引起的自主神经系统疾患	Autonomic nervous system disorder due to certain specified neurodegenerative disorder	Autonomic nervous system disorder	08.Diseases of the nervous system
2C11	其他或不明消化器官的恶性肿瘤	Malignant neoplasms of other or ill-defined digestive organs	Malignant digestive organ neoplasm	02.Neoplasms
5C50	先天性氨基酸或其他有机酸代谢缺陷	Inborn errors of amino acid or other organic acid metabolism	Metabolic disorder	05.Endocrine, nutritional or metabolic diseases
5D2Z	未特指的代谢紊乱	Metabolic disorders, unspecified	Metabolic disorder	05.Endocrine, nutritional or metabolic diseases
3B10	遗传性因子VIII缺乏	Hereditary factor VIII deficiency	Coagulation defect	03.Diseases of the blood or blood-forming organs
8D64	脑积水	Hydrocephalus	Hydrocephalus	08.Diseases of the nervous system
DA24	食管炎	Oesophagitis	Oesophagitis	13.Diseases of the digestive system
8C6Y	其他特指的重症肌无力或某些特指的神经肌肉接头疾患	Other specified myasthenia gravis and neuromuscular junction disorders	Myasthenia gravis	08.Diseases of the nervous system
2A85	其他特指的成熟B细胞肿瘤或淋巴瘤	Other specified mature B-cell neoplasms or lymphoma	Mature B-cell lymphoma	02.Neoplasms
CA23	哮喘	Asthma	Asthma	12.Diseases of the respiratory system
GB60	急性肾衰竭	Acute kidney failure	Kidney failure	16.Diseases of the genitourinary system
GB6Z	未特指的肾衰竭	Kidney failure, unspecified	Kidney failure	16.Diseases of the genitourinary system
2C12	肝或肝内胆管恶性肿瘤	Malignant neoplasms of liver or intrahepatic bile ducts	Liver cancer	02.Neoplasms
2B51	原发部位骨肉瘤	Osteosarcoma, primary site	Osteosarcoma	02.Neoplasms
1A00	霍乱	Cholera	Postoperative inflammation	01.Certain infectious or parasitic diseases
CA43	肺或纵隔脓肿	Abscess of lung or mediastinum	Postoperative inflammation	01.Certain infectious or parasitic diseases
LD2F	多发性结构异常综合征，主要身体系统未受累	Syndromes with multiple structural anomalies, without predominant body system involvement	Multiple structural anomalies syndrome	20.Developmental anomalies
2C93	尿道或尿道旁腺恶性肿瘤	Malignant neoplasms of urethra or paraurethral gland	Urethral cancer	02.Neoplasms
6D80	阿尔茨海默病所致痴呆	Dementia due to Alzheimer disease	Dementia	06.Mental, behavioural or neurodevelopmental disorders
6D8Z	不明或未特指原因的痴呆	Dementia, unknown or unspecified cause	Dementia	06.Mental, behavioural or neurodevelopmental disorders
ED80	痤疮	Acne	Acne vulgaris	14.Diseases of the skin
DD91	肠易激综合征或某些特指的功能性肠病	Irritable bowel syndrome or certain specified functional bowel disorders	Irritable bowel syndrome	13.Diseases of the digestive system
5B50	婴儿、儿童或青少年低体重	Underweight in infants, children or adolescents	Nutritional deficiency	05.Endocrine, nutritional or metabolic diseases
5B71	蛋白质缺乏	Protein deficiency	Nutritional deficiency	05.Endocrine, nutritional or metabolic diseases
2F7B	骨或关节软骨生物学行为不定的肿瘤	Neoplasms of uncertain behaviour of bone or articular cartilage	Bone/articular cartilage neoplasm	02.Neoplasms
MB47	肌张力和反射异常	Abnormality of tonus or reflex	Tonus and reflex abnormality	21.Symptoms, signs or clinical findings, not elsewhere classified
8B61	脊肌萎缩症	Spinal muscular atrophy	Muscular atrophy	08.Diseases of the nervous system
BA43	冠状动脉血栓形成，未导致心肌梗死	Coronary thrombosis not resulting in myocardial infarction	Coronary thrombosis	11.Diseases of the circulatory system
GB61	慢性肾脏病	Chronic kidney disease	Chronic kidney disease	16.Diseases of the genitourinary system
BC43	心肌病	Cardiomyopathy	Cardiomyopathy	11.Diseases of the circulatory system
5B5K	矿物质缺乏	Mineral deficiencies	Mineral deficiency	05.Endocrine, nutritional or metabolic diseases
1E30	季节性流感病毒引起的流感	Influenza due to identified seasonal influenza virus	Influenza	01.Certain infectious or parasitic diseases
1E32	流感，病毒未标明	Influenza, virus not identified	Influenza	01.Certain infectious or parasitic diseases
2A20	非肥大细胞骨髓增殖性肿瘤	Non mast cell myeloproliferative neoplasms	Myeloproliferative neoplasm	02.Neoplasms
1D0Y	非病毒性和未特指的中枢神经系统感染，其他特指的	Other specified non-viral and unspecified infections of the central nervous system	Parasitic infection	01.Certain infectious or parasitic diseases
1G2Z	未特指的寄生虫病	Unspecified parasitic diseases	Parasitic infection	01.Certain infectious or parasitic diseases
2D80	肝或肝内胆管转移性恶性肿瘤	Malignant neoplasm metastasis in liver or intrahepatic bile duct	Metastatic liver/bile duct neoplasm	02.Neoplasms
5D00	淀粉样变性	Amyloidosis	Amyloidosis	05.Endocrine, nutritional or metabolic diseases
5C50	先天性氨基酸或其他有机酸代谢缺陷	Inborn errors of amino acid or other organic acid metabolism	Inborn metabolism deficiency	05.Endocrine, nutritional or metabolic diseases
5C59	先天性神经递质代谢缺陷	Inborn errors of neurotransmitter metabolism	Inborn metabolism deficiency	05.Endocrine, nutritional or metabolic diseases
FB83	骨量低下	Low bone mass disorders	Low bone mass disorder	15.Diseases of the musculoskeletal system or connective tissue
CA0Z	未特指的上呼吸道疾患	Upper respiratory tract disorders, unspecified	Upper respiratory tract disorder	12.Diseases of the respiratory system
JA00	流产	Abortion	Abortion	18.Pregnancy, childbirth or the puerperium
2A90	成熟T细胞淋巴瘤，特指型，结节性或系统性	Mature T-cell lymphoma, specified types, nodal or systemic	Mature T-cell lymphoma	02.Neoplasms
5A80	卵巢功能障碍	Ovarian dysfunction	Ovarian dysfunction	05.Endocrine, nutritional or metabolic diseases
DB90	感染性肝病	Infectious liver disease	Liver disease	13.Diseases of the digestive system
DB9Z	未特指的肝脏疾病	Diseases of liver, unspecified	Liver disease	13.Diseases of the digestive system
7A20	发作性睡病	Narcolepsy	Narcolepsy	07.Sleep-wake disorders
1C60	人类免疫缺陷病毒病合并结核病	Human immunodeficiency virus disease associated with tuberculosis	Human immunodeficiency virus disease	01.Certain infectious or parasitic diseases
1C62	人类免疫缺陷病毒病未提及是否合并结核病或疟疾	Human immunodeficiency virus disease without mention of tuberculosis or malaria	Human immunodeficiency virus disease	01.Certain infectious or parasitic diseases
1D92	未特指部位的冠状病毒感染	Coronavirus infection, unspecified site	Coronavirus infection	01.Certain infectious or parasitic diseases
1F29	真菌性足菌肿	Eumycetoma	Fungal infection	01.Certain infectious or parasitic diseases
1F2F	暗色丝孢霉病	Phaeohyphomycosis	Fungal infection	01.Certain infectious or parasitic diseases
6C45	可卡因使用所致障碍	Disorders due to use of cocaine	Cocaine use disorder	06.Mental, behavioural or neurodevelopmental disorders
4A80	累及呼吸道的变应性或过敏性疾患	Allergic or hypersensitivity disorders involving the respiratory tract	Allergic/hypersensitivity disorder	04.Diseases of the immune system
4A8Z	未特指类型的变应性或过敏症	Allergic or hypersensitivity conditions of unspecified type	Allergic/hypersensitivity disorder	04.Diseases of the immune system
9B71	视网膜病变	Retinopathy	Retinopathy	09.Diseases of the visual system
DD71	溃疡性结肠炎	Ulcerative colitis	Ulcerative colitis	13.Diseases of the digestive system
GA34	与生殖器或月经周期有关的女性盆腔痛	Female pelvic pain associated with genital organs or menstrual cycle	Female pelvic pain	16.Diseases of the genitourinary system
2C14	近端胆道胆囊管恶性肿瘤	Malignant neoplasms of proximal biliary tract, cystic duct	Metastatic biliary tract neoplasms	02.Neoplasms
2C17	胆道其他或未特指部位的恶性肿瘤	Malignant neoplasms of other or unspecified parts of biliary tract	Metastatic biliary tract neoplasms	02.Neoplasms
2B6E	唇、口腔或咽部其他或不明部位的恶性肿瘤	Malignant neoplasms of other or ill-defined sites in the lip, oral cavity or pharynx	Lip/oral cavity/pharynx neoplasm	02.Neoplasms
5B10	类癌综合征	Carcinoid syndrome	Carcinoid syndrome	05.Endocrine, nutritional or metabolic diseases
DB92	非酒精性脂肪性肝病	Non-alcoholic fatty liver disease	Non-alcoholic fatty liver disease	13.Diseases of the digestive system
2B59	原发部位脂肪肉瘤	Liposarcoma, primary site	Liposarcoma	02.Neoplasms
EK90	光线性角化病和其他散在表皮发育不良	Actinic keratosis and other discrete epidermal dysplasias	Epidermal dysplasias	14.Diseases of the skin
BD54	糖尿病足部溃疡	Diabetic foot ulcer	Diabetic foot ulcer	11.Diseases of the circulatory system
GA20	月经周期出血疾患	Menstrual cycle bleeding disorders	Bleeding disorder	16.Diseases of the genitourinary system
GA21	非月经出血性疾患	Nonmenstrual bleeding disorders	Bleeding disorder	16.Diseases of the genitourinary system
CA08	血管舒缩性或变应性鼻炎	Vasomotor or allergic rhinitis	Vasomotor/allergic rhinitis	12.Diseases of the respiratory system
5A60	垂体功能亢进	Hyperfunction of pituitary gland	Pituitary gland disorder	05.Endocrine, nutritional or metabolic diseases
5A61	垂体功能减退或某些其他特指疾患	Hypofunction or certain other specified disorders of pituitary gland	Pituitary gland disorder	05.Endocrine, nutritional or metabolic diseases
2A81	弥漫大B细胞淋巴瘤	Diffuse large B-cell lymphomas	Diffuse large B-cell lymphoma	02.Neoplasms
GA30	绝经期或某些特指的围绝经期疾患	Menopausal or perimenopausal disorders	Menopausal disorder	16.Diseases of the genitourinary system
DD90	功能性食管或胃十二指肠疾患	Functional oesophageal or gastroduodenal disorders	Oesophageal/gastroduodenal disorder	13.Diseases of the digestive system
DA63	十二指肠溃疡	Duodenal ulcer	Duodenal ulcer	13.Diseases of the digestive system
2B58	原发部位平滑肌肉瘤	Leiomyosarcoma, primary site	Leiomyosarcoma	02.Neoplasms
QB63	具有移植器官或组织	Presence of transplanted organ or tissue	Transplanted organ/tissue	24.Factors influencing health status or contact with health services
2C94	膀胱恶性肿瘤	Malignant neoplasms of bladder	Bladder cancer	02.Neoplasms
1F66	丝虫病	Filariasis	Filariasis	01.Certain infectious or parasitic diseases
LD2D	神经皮肤综合征	Phakomatoses or hamartoneoplastic syndromes	Phakomatoses/hamartoneoplastic syndrome	20.Developmental anomalies
9C82	眼外肌疾患	Disorders of extraocular muscles	Extraocular muscle disorder	09.Diseases of the visual system
1D9Z	未特指部位未特指的病毒性感染	Unspecified viral infection of unspecified site	Unspecified viral infection of unspecified site	01.Certain infectious or parasitic diseases
2C10.Z	未特指的胰腺恶性肿瘤	Malignant neoplasm of pancreas, unspecified	Malignant neoplasm of pancreas, unspecified	02.Neoplasms
2C10	胰腺恶性肿瘤	Malignant neoplasm of pancreas	Malignant neoplasm of pancreas	02.Neoplasms
XH8844	少突神经胶质瘤，间变性	Oligodendroglioma, anaplastic	Oligodendroglioma, anaplastic	X.Extension Codes
XH0MB1	胶质母细胞瘤，原发性，NOS	Glioblastoma, primary, NOS	Glioblastoma, primary, NOS	X.Extension Codes
2C82.0	前列腺腺癌	Adenocarcinoma of prostate	Adenocarcinoma of prostate	02.Neoplasms
2B72	胃恶性肿瘤	Malignant neoplasms of stomach	Malignant neoplasms of stomach	02.Neoplasms
BA8Y	其他特指的冠状动脉疾病	Other specified diseases of coronary artery	coronary artery disease	11.Diseases of the circulatory system
BA8Z	未特指的冠状动脉疾病	Diseases of coronary artery, unspecified	coronary artery disease	11.Diseases of the circulatory system
ED90	玫瑰痤疮和相关疾患	Rosacea and related disorders	Rosacea	14.Diseases of the skin
8B60.0	肌萎缩侧索硬化	Amyotrophic lateral sclerosis	Amyotrophic lateral sclerosis	08.Diseases of the nervous system
1F00.01	唇单纯疱疹	Herpes simplex labialis	Herpes simplex labialis	01.Certain infectious or parasitic diseases
BC81.3	心房颤动	Atrial fibrillation	Atrial fibrillation	11.Diseases of the circulatory system
6A70.3	单次发作的抑郁障碍，重度，不伴精神病性症状	Single episode depressive disorder, severe, without psychotic symptoms	Single episode depressive disorder, severe, without psychotic symptoms	06.Mental, behavioural or neurodevelopmental disorders
8C70.1	Duchenne肌营养不良	Duchenne muscular dystrophy	Duchenne muscular dystrophy	08.Diseases of the nervous system
CA40	肺炎	Pneumonia	Pneumonia	12.Diseases of the respiratory system
5A10	1型糖尿病	Type 1 diabetes mellitus	Type1diabetesmellitus	05.Endocrine, nutritional or metabolic diseases
XS26	感染性休克	Septic shock	Septic shock	X.Extension Codes
MG22	疲劳	Fatigue	Fatigue	21.Symptoms, signs or clinical findings, not elsewhere classified
